Country Name,Country Code,Indicator Name,Indicator Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013]
Afghanistan,AFG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,NA,NA,NA,NA,NA,NA,NA,NA,8.444163231,1.055555806,11.17527022,5.554137643,13.74020497,3.61136841,21.02064872,8.433290483,6.113685182,14.38548795,NA
Albania,ALB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,13.3,9.1,-10.2,12.7,10.1,7.3,7,2.9,5.7,5.9,5.5,5,5.9,7.7,3.3,3.5,3,1.6,NA
Algeria,DZA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.79999481,4.099998477,1.099999927,5.100003607,3.200001534,2.200000704,4.612523742,5.6,7.2,4.3,5.9,1.7,3.4,2,1.7,3.6,2.6,3.3,NA
American Samoa,ASM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Andorra,ADO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.757493977,4.649741959,9.067673964,3.194787965,4.099081148,1.165787064,11.77027275,5.874302308,6.754385451,6.484810116,5.9178627,6.789935147,1.4280715,3.570737186,NA,NA,NA,NA,NA
Angola,AGO,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,10.4,11.2,7.9,6.804762114,3.239799671,3.012076175,4.220965148,13.82179252,5.24756962,10.87946505,18.26154849,20.7350198,22.59310611,13.81709896,2.412911615,3.407643628,3.91856683,6.830623688,NA
Antigua and Barbuda,ATG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-4.176822709,6.739561478,4.885845391,4.40767125,4.121605395,5.099898554,-3.120024322,2.895024152,6.584219881,4.912600964,6.114882902,13.53794151,9.628531291,0.029833177,-12.29766626,-7.738048039,-2.997792513,2.847247304,NA
Argentina,ARG,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-2.845209611,5.526689828,8.111046758,3.850178869,-3.385457053,-0.788998922,-4.408839698,-10.89448482,8.837040783,9.029573322,9.178950217,8.466062712,NA,NA,NA,NA,NA,NA,NA
Armenia,ARM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.899998407,5.865400748,3.321079696,7.3,3.3,5.9,9.556641496,13.18630053,14.04079506,10.46784186,13.86571125,13.19800351,13.74920196,37.4849439,-14.14998864,2.2,4.7,7.191865781,NA
Aruba,ABW,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.245085912,7.814431719,6.66662183,1.154469392,4.514062033,-0.364695779,-2.164459409,0.465289865,7.519472373,1.176690484,0.380390971,2.355119443,-3.654626242,-6.881302064,-5.653502086,NA,NA,NA,NA
Australia,AUS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.989672956,3.993580164,3.900573435,4.52413697,4.954373412,3.846027789,1.899480131,3.913109969,3.150902992,4.147459196,3.186876547,3.042741391,3.787990603,3.768927133,1.648159449,2.087575995,2.433201512,3.414517397,NA
Austria,AUT,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.667983664,2.466643934,2.308910875,3.785542748,3.539127804,3.667588836,0.857402601,1.693729863,0.865919445,2.589579854,2.400672359,3.669790293,3.705948764,1.436259096,-3.82189437,1.769168996,2.834374766,0.870499679,NA
Azerbaijan,AZE,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-11.8,1.3,5.8,10,7.4,11.1,9.9,10.6,11.2,10.2,26.4,34.5,25.049,10.77242069,9.410653522,4.854339505,0.065922707,2.2,NA
"Bahamas, The",BHS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.378750977,4.223530213,2.062240199,4.716473825,7.144129932,4.1492464,2.625627121,2.704629513,-1.264744629,0.882884233,3.39529267,2.516863841,1.446522215,-2.323937248,-4.175259175,0.987986326,1.659385056,1.832171744,NA
Bahrain,BHR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.929992241,4.110005383,3.09299925,4.790002365,4.3000008,5.29999345,4.6,5.26,7.2,5.6,7.8,6.7,8.34,6.3,3.1,4.337221976,2.099666949,3.399789286,NA
Bangladesh,BGD,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.92505218,4.621967972,5.387551729,5.227531388,4.869230207,5.94450677,5.274014114,4.415410923,5.255994272,6.2705029,5.955478473,6.629337175,6.427842521,6.190431553,5.741158626,6.069339864,6.708097255,6.233705051,NA
Barbados,BRB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,1.490133032,1.834015519,6.394727115,4.11236353,2.592656313,2.3,-2.550184351,0.672622176,1.973066082,1.433251433,3.996770287,5.706521739,1.670951157,0.343146108,-4.139668826,0.253473526,0.758497987,0.00929368,NA
Belarus,BLR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-10.4,2.8,11.4,8.4,3.4,5.8,4.725306006,5.045267318,7.043192675,11.44974293,9.440903631,9.997986694,8.647315659,10.24824592,0.163535159,7.7,5.5,1.5,NA
Belgium,BEL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.384757222,1.424413204,3.73515224,1.928963187,3.539994361,3.669619423,0.807633274,1.359653667,0.806831275,3.27431154,1.751108202,2.666541916,2.883213342,0.98516304,-2.800566856,2.323167946,1.769099328,-0.136218752,NA
Belize,BLZ,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.643967584,1.428722652,3.545183788,3.740955126,8.780368083,13.03876739,5.015663395,5.118559327,9.329244616,4.648090814,2.971324708,4.697440177,1.210359832,3.848875782,0.297118665,3.880725327,2.342241049,5.286334027,NA
Benin,BEN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.045198644,4.324284034,5.734688365,3.961012146,5.341449371,4.86166756,6.248410555,4.421114337,3.882508341,3.119857108,2.865236818,3.752154475,4.62639647,5.018430261,2.666515398,2.552817841,3.530698244,5.399973877,NA
Bermuda,BMU,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.399147856,2.600476046,4.6,3.9,3.382648714,9.317155577,7.222436009,-1.477790375,3.410706204,2.321266476,1.674207149,5.543865928,2.845890114,1.52789391,-5.284177149,-2.094113534,-3.33949441,-4.868600264,NA
Bhutan,BTN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.074117383,5.565172706,5.373838635,5.914030812,7.98397233,6.933024023,8.203773885,10.72784086,7.664333953,5.896408047,7.122559851,6.849365814,17.92582502,4.669364382,6.727985683,11.67752758,8.509278093,9.441665526,NA
Bolivia,BOL,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.678276905,4.361340311,4.954208776,5.029354636,0.426885364,2.507810988,1.683799034,2.485565815,2.711339832,4.173295561,4.4214331,4.797008739,4.564384483,6.14849781,3.35699943,4.126722747,5.173930422,5.176430946,NA
Bosnia and Herzegovina,BIH,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,20.80000117,88.95766405,34.38957514,15.59999615,9.6,5.5,4.4,5.3,4,6.1,5,6.2,6.838,5.42,-2.91,0.699999999,1.299999976,-0.700000037,NA
Botswana,BWA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,7.030410261,5.829800078,8.026549026,0.721993155,9.667240742,1.987695854,0.250573867,6.069530868,4.625894763,2.705821672,4.556645672,7.959531191,8.682340647,3.901466752,-7.84100195,8.594135556,6.102367246,4.17870569,NA
Brazil,BRA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.416831993,2.15,3.374938815,0.035512204,0.255597103,4.305745715,1.314896121,2.655974267,1.146749064,5.713916916,3.156352388,3.955415269,6.095454977,5.169299014,-0.32824804,7.533615453,2.732509243,0.872708176,NA
Brunei Darussalam,BRN,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,4.478707096,2.878318295,-1.471171731,-0.558508393,3.052156067,2.84942187,2.744041404,3.872097238,2.903955035,0.504317943,0.38750691,4.397720432,0.15458146,-1.938880222,-1.765371494,2.598965911,2.208359322,2.154755907,NA
Bulgaria,BGR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,2.860189461,-9.030054663,-1.645530387,4.861361965,1.964141473,5.7,4.2,4.7,5.5,6.7,6.4,6.5,6.4,6.2,-5.5,0.4,1.8,0.8,NA
Burkina Faso,BFA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.71637387,11.01474387,6.316834731,7.307719635,7.404178965,1.847021335,6.58537435,5.143785179,7.802493891,4.478452136,8.661873228,6.767809454,3.606206563,5.800005065,2.965439145,7.939698739,4.210077721,10.03409889,NA
Burundi,BDI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-7.92,-8,-1.59,4.75,-1.01,-0.856864057,2.055807106,4.446519421,-1.223727958,4.833657761,0.9,5.384657398,4.785831951,5.048118782,3.468425427,3.785902542,4.191625678,4.019358035,NA
