Country Name,Country Code,Indicator Name,Indicator Code,1995 [YR1995],1996 [YR1996],1997 [YR1997],1998 [YR1998],1999 [YR1999],2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013]
Puerto Rico,PRI,Net migration,SM.POP.NETM,NA,NA,-30450,NA,NA,NA,NA,-145704,NA,NA,NA,NA,-138043,NA,NA,NA,NA,-103537,NA
Qatar,QAT,Net migration,SM.POP.NETM,NA,NA,42840,NA,NA,NA,NA,170402,NA,NA,NA,NA,857088,NA,NA,NA,NA,499998,NA
Romania,ROM,Net migration,SM.POP.NETM,NA,NA,-328262,NA,NA,NA,NA,-52137,NA,NA,NA,NA,-54550,NA,NA,NA,NA,-44999,NA
Russian Federation,RUS,Net migration,SM.POP.NETM,NA,NA,2308220,NA,NA,NA,NA,1635324,NA,NA,NA,NA,2257350,NA,NA,NA,NA,1100002,NA
Rwanda,RWA,Net migration,SM.POP.NETM,NA,NA,1791149,NA,NA,NA,NA,-63536,NA,NA,NA,NA,-63536,NA,NA,NA,NA,-44999,NA
Samoa,WSM,Net migration,SM.POP.NETM,NA,NA,-17300,NA,NA,NA,NA,-15726,NA,NA,NA,NA,-15371,NA,NA,NA,NA,-12690,NA
San Marino,SMR,Net migration,SM.POP.NETM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sao Tome and Principe,STP,Net migration,SM.POP.NETM,NA,NA,-9107,NA,NA,NA,NA,-5998,NA,NA,NA,NA,-1498,NA,NA,NA,NA,-1500,NA
Saudi Arabia,SAU,Net migration,SM.POP.NETM,NA,NA,-876891,NA,NA,NA,NA,2197524,NA,NA,NA,NA,157126,NA,NA,NA,NA,300000,NA
Senegal,SEN,Net migration,SM.POP.NETM,NA,NA,-209864,NA,NA,NA,NA,-151131,NA,NA,NA,NA,-166051,NA,NA,NA,NA,-99996,NA
Serbia,SRB,Net migration,SM.POP.NETM,NA,NA,-202845,NA,NA,NA,NA,-323540,NA,NA,NA,NA,-240636,NA,NA,NA,NA,-99999,NA
Seychelles,SYC,Net migration,SM.POP.NETM,NA,NA,-135,NA,NA,NA,NA,2513,NA,NA,NA,NA,-1111,NA,NA,NA,NA,-1551,NA
Sierra Leone,SLE,Net migration,SM.POP.NETM,NA,NA,-150000,NA,NA,NA,NA,500000,NA,NA,NA,NA,60000,NA,NA,NA,NA,-21000,NA
Singapore,SGP,Net migration,SM.POP.NETM,NA,NA,255243,NA,NA,NA,NA,435595,NA,NA,NA,NA,449245,NA,NA,NA,NA,400000,NA
Sint Maarten (Dutch part),SXM,Net migration,SM.POP.NETM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Slovak Republic,SVK,Net migration,SM.POP.NETM,NA,NA,-2964,NA,NA,NA,NA,5787,NA,NA,NA,NA,30200,NA,NA,NA,NA,14999,NA
Slovenia,SVN,Net migration,SM.POP.NETM,NA,NA,1375,NA,NA,NA,NA,16824,NA,NA,NA,NA,44720,NA,NA,NA,NA,22000,NA
Solomon Islands,SLB,Net migration,SM.POP.NETM,NA,NA,-677,NA,NA,NA,NA,-4898,NA,NA,NA,NA,-11896,NA,NA,NA,NA,-11868,NA
Somalia,SOM,Net migration,SM.POP.NETM,NA,NA,-100004,NA,NA,NA,NA,-200000,NA,NA,NA,NA,-300000,NA,NA,NA,NA,-150000,NA
South Africa,ZAF,Net migration,SM.POP.NETM,NA,NA,158912,NA,NA,NA,NA,1072072,NA,NA,NA,NA,1402643,NA,NA,NA,NA,-100000,NA
South Sudan,SSD,Net migration,SM.POP.NETM,NA,NA,400000,NA,NA,NA,NA,432000,NA,NA,NA,NA,785000,NA,NA,NA,NA,865000,NA
Spain,ESP,Net migration,SM.POP.NETM,NA,NA,796019,NA,NA,NA,NA,2829228,NA,NA,NA,NA,2250005,NA,NA,NA,NA,599997,NA
Sri Lanka,LKA,Net migration,SM.POP.NETM,NA,NA,-400002,NA,NA,NA,NA,-100001,NA,NA,NA,NA,-383573,NA,NA,NA,NA,-316785,NA
St. Kitts and Nevis,KNA,Net migration,SM.POP.NETM,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
St. Lucia,LCA,Net migration,SM.POP.NETM,NA,NA,-948,NA,NA,NA,NA,-227,NA,NA,NA,NA,2850,NA,NA,NA,NA,40,NA
