Afghanistan,Islamic republic
0,
Albania,parliamentary democracy
0,
Algeria,republic
0,
American Samoa,NA
0,
Andorra,"parliamentary democracy (since March 1993) that retains as its chiefs of state a coprincipality; the two princes are the president of France and bishop of Seu d'Urgell, Spain, who are represented in Andorra by the coprinces' representatives"
0,
Angola,republic; multiparty presidential regime
0,
Anguilla,NA
0,
0,
Antigua and Barbuda,constitutional monarchy with a parliamentary system of government and a Commonwealth realm
0,
Argentina,republic
0,
Armenia,republic
0,
Aruba,parliamentary democracy
0,
Australia,federal parliamentary democracy and a Commonwealth realm
0,
Austria,federal republic
0,
Azerbaijan,republic
0,
"Bahamas, The",constitutional parliamentary democracy and a Commonwealth realm
0,
Bahrain,constitutional monarchy
0,
Bangladesh,parliamentary democracy
0,
Barbados,parliamentary democracy and a Commonwealth realm
0,
Belarus,"republic in name, although in fact a dictatorship"
0,
Belgium,federal parliamentary democracy under a constitutional monarchy
0,
Belize,parliamentary democracy and a Commonwealth realm
0,
Benin,republic
0,
Bermuda,parliamentary; self-governing territory
0,
Bhutan,constitutional monarchy
0,
Bolivia,"republic; note - the new constitution defines Bolivia as a ""Social Unitarian State"""
0,
Bosnia and Herzegovina,emerging federal democratic republic
0,
Botswana,parliamentary republic
0,
Brazil,federal republic
0,
British Virgin Islands,NA
0,
Brunei,constitutional sultanate (locally known as Malay Islamic Monarchy)
0,
Bulgaria,parliamentary democracy
0,
Burkina Faso,parliamentary republic
0,
Burma,parliamentary government took power in March 2011
0,
Burundi,republic
0,
Cabo Verde,republic
0,
Cambodia,multiparty democracy under a constitutional monarchy
0,
Cameroon,republic; multiparty presidential regime
0,
Canada,"a parliamentary democracy, a federation, and a constitutional monarchy"
0,
Cayman Islands,parliamentary democracy
0,
Central African Republic,republic
0,
Chad,republic
0,
Chile,republic
0,
China,Communist state
0,
Christmas Island,NA
0,
Cocos (Keeling) Islands,NA
0,
Colombia,republic; executive branch dominates government structure
0,
Comoros,republic
0,
"Congo, Democratic Republic of the",republic
0,
"Congo, Republic of the",republic
0,
Cook Islands,self-governing parliamentary democracy
0,
Costa Rica,democratic republic
0,
Cote d'Ivoire,republic; multiparty presidential regime established 1960
0,
Croatia,parliamentary democracy
0,
Cuba,Communist state
0,
Curacao,parliamentary
0,
Cyprus,republic 
0,"note: a separation of the two ethnic communities inhabiting the island began following the outbreak of communal strife in 1963; this separation was further solidified after the Turkish intervention in July 1974, following a Greek military-junta-supported coup attempt that gave the Turkish Cypriots de facto control in the north; Greek Cypriots control the only internationally recognized government; on 15 November 1983 Turkish Cypriot ""President"" Rauf DENKTAS declared independence and the formation of a ""Turkish Republic of Northern Cyprus"" (""TRNC""), which is recognized only by Turkey"
0,
Czech Republic,parliamentary democracy
0,
Denmark,constitutional monarchy
0,
Djibouti,republic
0,
Dominica,parliamentary democracy
0,
